City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto baquerizo moreno,-0.9,-89.6,24.55,61,75,6.17,EC,1730744648
1,olonkinbyen,70.9221,-8.7187,1.05,99,100,7.72,SJ,1730744649
2,luwuk,-0.9516,122.7875,22.28,83,94,1.96,ID,1730744651
3,san antonio de pale,-1.4014,5.6325,25.57,83,98,5.83,GQ,1730744652
4,ust-nera,64.5667,143.2,-25.45,99,98,1.28,RU,1730744653
5,tsiombe,-25.3,45.4833,22.97,81,9,8.26,MG,1730744654
6,sharm el-sheikh,27.8518,34.305,24.43,44,8,4.05,EG,1730744503
7,longyearbyen,78.2186,15.6401,-2.09,69,75,3.6,SJ,1730744371
8,valparaiso,-33.0393,-71.6273,24.13,49,0,8.75,CL,1730744657
9,dongola,19.1667,30.4833,23.41,22,0,4.91,SD,1730744658
10,sitka,57.0531,-135.33,5.94,81,75,2.06,US,1730744660
11,carnarvon,-24.8667,113.6333,19.73,73,3,8.67,AU,1730744661
12,fale old settlement,-9.3852,-171.2468,25.58,92,100,9.36,TK,1730744662
13,wailua homesteads,22.0669,-159.378,25.44,83,75,6.17,US,1730744663
14,edinburgh of the seven seas,-37.0676,-12.3116,13.9,73,80,3.42,SH,1730744664
15,bhakkar,31.6253,71.0657,25.92,21,3,1.62,PK,1730744665
16,bredasdorp,-34.5322,20.0403,11.22,75,76,4.16,ZA,1730744666
17,la passe,45.5549,-0.8967,16.34,83,34,3.41,FR,1730744667
18,bilibino,68.0546,166.4372,-26.64,100,82,1.52,RU,1730744669
19,punta arenas,-53.15,-70.9167,11.06,50,75,8.75,CL,1730744670
20,lerwick,60.1545,-1.1494,10.03,93,100,2.62,GB,1730744671
21,west island,-12.1568,96.8225,25.99,94,75,6.17,CC,1730744673
22,puerto natales,-51.7236,-72.4875,12.25,47,75,11.83,CL,1730744674
23,waitangi,-43.9535,-176.5597,8.23,96,64,3.87,NZ,1730744675
24,grytviken,-54.2811,-36.5092,6.22,56,89,9.98,GS,1730744676
25,tura,25.5198,90.2201,21.76,79,16,1.73,IN,1730744677
26,obihiro,42.9172,143.2044,5.63,67,24,7.01,JP,1730744678
27,jamestown,42.097,-79.2353,17.23,46,0,4.12,US,1730744679
28,port mathurin,-19.6833,63.4167,23.93,76,99,5.86,MU,1730744680
29,laojunmiao,39.8333,97.7333,4.96,32,4,2.11,CN,1730744681
30,albany,42.6001,-73.9662,10.36,59,100,1.79,US,1730744683
31,port elizabeth,-33.918,25.5701,13.16,96,75,4.63,ZA,1730744684
32,mumford,5.2618,-0.759,26.88,81,8,3.5,GH,1730744685
33,laguna,38.421,-121.4238,15.26,54,0,2.57,US,1730744686
34,howrah,22.5892,88.3103,26.0,83,20,1.54,IN,1730744687
35,tual,-5.6667,132.75,27.9,77,100,5.26,ID,1730744688
36,port-aux-francais,-49.35,70.2167,6.48,84,96,15.34,TF,1730744689
37,east london,-33.0153,27.9116,12.52,94,100,7.72,ZA,1730744690
38,port lincoln,-34.7333,135.8667,15.74,76,77,4.39,AU,1730744691
39,thompson,55.7435,-97.8558,0.09,93,100,3.6,CA,1730744692
40,hermanus,-34.4187,19.2345,10.45,68,33,6.7,ZA,1730744693
41,rizokarpaso,35.6,34.375,21.17,60,33,4.62,CY,1730744695
42,mount isa,-20.7333,139.5,21.87,53,9,1.54,AU,1730744696
43,blackmans bay,-43.0167,147.3167,5.41,85,44,0.45,AU,1730744697
44,nenjiang,49.1833,125.2167,-4.42,68,100,4.35,CN,1730744698
45,ouargaye,11.5033,0.0572,28.64,21,8,3.0,BF,1730744699
46,adamstown,-25.066,-130.1015,21.19,75,100,6.08,PN,1730744700
47,wenling,28.3669,121.36,17.72,81,100,5.4,CN,1730744701
48,lorengau,-2.0226,147.2712,26.59,77,100,0.58,PG,1730744703
49,bethel,41.3712,-73.414,13.36,59,0,3.09,US,1730744704
50,jieshi,22.8134,115.8257,23.76,75,75,6.97,CN,1730744705
51,ushuaia,-54.8,-68.3,8.81,66,75,8.75,AR,1730744706
52,vila franca do campo,37.7167,-25.4333,21.23,99,41,4.49,PT,1730744707
53,yauya,-8.9833,-77.3,18.32,40,82,2.55,PE,1730744708
54,tamanrasset,22.785,5.5228,23.95,23,40,3.6,DZ,1730744709
55,ilulissat,69.2167,-51.1,-2.99,80,75,6.69,GL,1730744710
56,rongelap,11.1635,166.8941,26.43,84,100,6.9,MH,1730744711
57,kuta,-8.7233,115.1723,27.97,94,75,2.57,ID,1730744712
58,yigo village,13.5361,144.8886,27.16,84,40,5.14,GU,1730744713
59,anadyr,64.75,177.4833,-7.72,73,20,9.0,RU,1730744715
60,kodiak,57.79,-152.4072,-3.27,80,0,2.57,US,1730744716
61,susuman,62.7833,148.1667,-25.0,99,100,1.37,RU,1730744717
62,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,67,0,4.0,RU,1730744718
63,happy valley-goose bay,53.3168,-60.3315,1.17,47,75,5.14,CA,1730744719
64,tazovsky,67.4667,78.7,-4.12,94,100,10.25,RU,1730744720
65,kota belud,6.351,116.4305,24.44,90,100,1.96,MY,1730744721
66,utrik,11.2278,169.8474,26.99,75,100,0.61,MH,1730744722
67,iskateley,67.6803,53.1512,-2.01,97,99,3.95,RU,1730744723
68,sarangani,5.4033,125.4636,28.51,76,29,5.66,PH,1730744724
69,taoudenni,22.6783,-3.9836,31.18,12,4,1.99,ML,1730744727
70,guerrero negro,27.9769,-114.0611,21.39,44,0,6.14,MX,1730744728
71,mezhdurechenskiy,59.6,65.9333,-1.11,92,100,5.37,RU,1730744729
72,sandefjord,59.1312,10.2167,9.59,98,100,2.57,NO,1730744730
73,nuuk,64.1835,-51.7216,-1.66,80,75,2.57,GL,1730744731
74,venta de banos,41.9371,-4.4645,16.21,70,45,2.33,ES,1730744732
75,koge,55.458,12.1821,10.27,87,100,2.06,DK,1730744733
76,isafjordur,66.0755,-23.124,5.02,70,75,1.03,IS,1730744734
77,peace river,56.2501,-117.286,1.17,86,0,2.06,CA,1730744735
78,saipan,15.1355,145.701,28.39,84,40,5.14,MP,1730744736
79,romanovskaya,47.5426,42.0285,3.56,69,82,9.44,RU,1730744738
80,qaqortoq,60.7167,-46.0333,-6.4,78,21,2.19,GL,1730744739
81,kuala terengganu,5.3302,103.1408,25.97,89,20,1.03,MY,1730744740
82,badger,64.8,-147.5333,-7.86,88,75,1.54,US,1730744741
83,sao tome,0.3365,6.7273,25.81,87,99,2.52,ST,1730744742
84,urangan,-25.3,152.9,23.1,70,7,3.91,AU,1730744743
85,bozkurt,41.9577,34.0109,8.87,67,40,4.74,TR,1730744744
86,olyokminsk,60.3736,120.4264,-20.62,100,89,0.61,RU,1730744745
87,arraial do cabo,-22.9661,-42.0278,25.92,78,75,10.29,BR,1730744746
88,praia da vitoria,38.7333,-27.0667,21.14,83,40,8.72,PT,1730744748
89,aiquile,-18.2041,-65.1807,28.39,31,14,6.74,BO,1730744750
90,seguin,29.5688,-97.9647,30.24,65,100,8.23,US,1730744751
91,yellowknife,62.456,-114.3525,-2.55,99,75,1.54,CA,1730744474
92,port alfred,-33.5906,26.891,12.32,96,100,1.34,ZA,1730744753
93,rioblanco,3.5308,-75.6806,20.9,65,100,2.52,CO,1730744754
94,lebu,-37.6167,-73.65,13.85,66,100,4.03,CL,1730744755
95,georgetown,5.4112,100.3354,26.96,83,20,2.06,MY,1730744756
